(13:01) (Shotgun) J.Fields sacked at CHI 18 for -9 yards (sack split by M.Wilson and M.Judon). FUMBLES (M.Wilson) [M.Judon], ball out of bounds at NE 18.	Pats score 0.5	Chi scores 0
(12:05) T.Gill punts 46 yards to NE 36, Center-P.Scales. Ma.Jones pushed ob at NE 45 for 9 yards (J.Sanborn).	Pats score 0	Chi scores 0
(11:55) NE 4-Zappe now at QB. (Shotgun) B.Zappe pass short right to J.Smith to NE 49 for 4 yards (E.Jackson; N.Morrow).	Pats score 0	Chi scores 0
(11:14) (Shotgun) D.Harris right end to 50 for 1 yard (R.Smith).	Pats score 0	Chi scores 0
(10:36) (Shotgun) B.Zappe pass short right to R.Stevenson to CHI 30 for 20 yards (E.Jackson) [A.Muhammad].	Pats score 0.5	Chi scores 0
Jakobi Meyers Pass From Bailey Zappe for 30 Yds N.Folk extra point is GOOD, Center-J.Cardona, Holder-J.Bailey.	Pats score 1.5	Chi scores 0
J.Bailey kicks 62 yards from NE 35 to CHI 3. K.Herbert to CHI 30 for 27 yards (B.Schooler; A.Phillips).	Pats score 0	Chi scores 0
(9:36) (Shotgun) J.Fields right end ran ob at CHI 45 for 15 yards (D.McCourty).	Pats score 0	Chi scores 0
(8:59) (Shotgun) D.Montgomery up the middle to CHI 46 for 1 yard (J.Bentley).	Pats score 0	Chi scores 0
(8:16) D.Montgomery up the middle to 50 for 4 yards (R.McMillan; D.Godchaux).	Pats score 0	Chi scores 0
(7:44) (No Huddle, Shotgun) J.Fields pass short middle intended for E.St. Brown INTERCEPTED by M.Bryant (M.Judon) at NE 39. M.Bryant to 50 for 11 yards (E.St. Brown). CHI-T.Jenkins was injured during the play.	Pats score 0.5	Chi scores 0
(7:34) B.Zappe pass deep left to D.Parker to CHI 7 for 43 yards (J.Johnson).	Pats score 0.5	Chi scores 0
(6:45) R.Stevenson left end to CHI 4 for 3 yards (M.Pennel; R.Smith).	Pats score 0	Chi scores 0
(6:08) R.Stevenson left end for 4 yards, TOUCHDOWN. CHI-M.Pennel was injured during the play.N.Folk extra point is GOOD, Center-J.Cardona, Holder-J.Bailey.	Pats score 1.0	Chi scores 0
J.Bailey kicks 65 yards from NE 35 to end zone, Touchback.	Pats score 0	Chi scores 0
(6:04) (Shotgun) J.Fields up the middle to CHI 30 for 5 yards (J.Bentley).	Pats score 0	Chi scores 0
(5:33) (Shotgun) K.Herbert right guard to CHI 34 for 4 yards (R.McMillan).	Pats score 0	Chi scores 0
(5:12) (No Huddle) J.Fields up the middle to CHI 35 for 1 yard (L.Guy; R.McMillan).	Pats score 0	Chi scores 0
(4:32) (Shotgun) K.Herbert up the middle to CHI 45 for 10 yards (D.McCourty).	Pats score 0	Chi scores 0
(3:50) (Shotgun) J.Fields pass short middle to D.Mooney to NE 39 for 16 yards (J.Bentley; J.Peppers).	Pats score 0	Chi scores 0
(3:12) (Shotgun) J.Fields pass short right to R.Griffin to NE 34 for 5 yards (A.Jennings; J.Bentley).	Pats score 0	Chi scores 0
(2:33) (Shotgun) J.Fields sacked ob at NE 34 for 0 yards (M.Judon).	Pats score 0.5	Chi scores 0
Timeout #1 by NE at 02:14.	Pats score 0	Chi scores 0
(2:14) (Shotgun) J.Fields left end pushed ob at NE 25 for 9 yards (D.McCourty).	Pats score 0	Chi scores 0
Two-Minute Warning	Pats score 0	Chi scores 0
Khalil Herbert Pass From Justin Fields for 25 Yds C.Santos extra point is GOOD, Center-P.Scales, Holder-T.Gill.	Pats score 0	Chi scores 1.5
C.Santos kicks 65 yards from CHI 35 to NE 0. Ma.Jones to NE 27 for 27 yards (D.Houston-Carson).	Pats score 0	Chi scores 0
(1:49) (Shotgun) B.Zappe pass incomplete deep left to T.Thornton.	Pats score 0	Chi scores 0
(1:44) (Shotgun) B.Zappe pass short right to D.Parker ran ob at NE 39 for 12 yards (K.Vildor).	Pats score 0	Chi scores 0
(1:40) (Shotgun) B.Zappe FUMBLES (Aborted) at NE 35, RECOVERED by CHI-Ju.Jones at NE 37. Ju.Jones to NE 37 for no gain (R.Stevenson).	Pats score 0	Chi scores 0.5
(1:32) (Shotgun) J.Fields left end ran ob at NE 33 for 4 yards (Ja.Jones).	Pats score 0	Chi scores 0
(1:26) (Shotgun) J.Fields sacked at NE 41 for -8 yards (M.Judon).	Pats score 0.5	Chi scores 0
Timeout #2 by NE at 00:31.	Pats score 0	Chi scores 0
(:41) (Shotgun) J.Fields scrambles up the middle ran ob at NE 21 for 20 yards (Ja.Jones).	Pats score 0	Chi scores 0.5
Timeout #1 by CHI at 00:24.	Pats score 0	Chi scores 0
(:31) (Shotgun) J.Fields sacked at NE 34 for -13 yards (A.Jennings). FUMBLES (A.Jennings), and recovers at NE 36. J.Fields to NE 36 for no gain (M.Judon).	Pats score 0	Chi scores 0
Timeout #2 by CHI at 00:19.	Pats score 0	Chi scores 0
Timeout #3 by NE at 00:19.	Pats score 0	Chi scores 0
(:24) (Shotgun) J.Fields left guard to NE 27 for 9 yards (Ja.Jones).	Pats score 0	Chi scores 0
(:19) (Shotgun) J.Fields pass deep right to D.Mooney pushed ob at NE 10 for 17 yards (M.Bryant).	Pats score 0	Chi scores 0
(:11) (Shotgun) J.Fields pass incomplete short right. PENALTY on NE-Jo.Jones, Defensive Holding, 5 yards, enforced at NE 10 - No Play.	Pats score 0	Chi scores 0
(:03) C.Santos 23 yard field goal is GOOD, Center-P.Scales, Holder-T.Gill.	Pats score 0	Chi scores 0.5
END QUARTER 2	Pats score 0	Chi scores 0
J.Bailey kicks 63 yards from NE 35 to CHI 2. K.Herbert to CHI 24 for 22 yards (J.Peppers).	Pats score 0	Chi scores 0
(14:53) K.Herbert left end pushed ob at CHI 28 for 4 yards (J.Bentley).	Pats score 0	Chi scores 0
(14:16) (Shotgun) J.Fields pass incomplete short right to D.Mooney.	Pats score 0	Chi scores 0
(14:13) (Shotgun) J.Fields FUMBLES (Aborted) at CHI 23, and recovers at CHI 19. J.Fields pushed ob at CHI 35 for 16 yards (Jo.Jones).	Pats score 0	Chi scores 0
(13:35) D.Pettis right end ran ob at NE 36 for 29 yards (D.McCourty).	Pats score 0	Chi scores 0.5
(13:00) (Shotgun) K.Herbert right end to NE 31 for 5 yards (Jo.Jones).	Pats score 0	Chi scores 0
(12:18) (Shotgun) J.Fields pass short left to E.St. Brown ran ob at NE 20 for 11 yards (J.Mills).	Pats score 0	Chi scores 0
(11:41) (Shotgun) PENALTY on CHI-B.Jones, False Start, 5 yards, enforced at NE 20 - No Play.	Pats score 0	Chi scores 0
(11:15) (Shotgun) J.Fields right guard to NE 24 for 1 yard (A.Jennings).	Pats score 0	Chi scores 0
(10:37) K.Herbert right end pushed ob at NE 20 for 4 yards (J.Tavai; Jo.Jones).	Pats score 0	Chi scores 0
(9:56) (Shotgun) J.Fields pass incomplete deep right to E.St. Brown.	Pats score 0	Chi scores 0
(9:51) C.Santos 38 yard field goal is GOOD, Center-P.Scales, Holder-T.Gill.	Pats score 0	Chi scores 0.5
C.Santos kicks 65 yards from CHI 35 to end zone, Touchback.	Pats score 0	Chi scores 0
(9:47) D.Harris left guard to NE 29 for 4 yards (A.Watts).	Pats score 0	Chi scores 0
(9:09) (Shotgun) B.Zappe pass incomplete short right to H.Henry (Ju.Jones).	Pats score 0	Chi scores 0
(9:04) (Shotgun) B.Zappe sacked at NE 21 for -8 yards (R.Smith).	Pats score 0	Chi scores 0.5
(8:31) J.Bailey punts 44 yards to CHI 35, Center-J.Cardona. D.Pettis MUFFS catch, and recovers at CHI 32. D.Pettis pushed ob at CHI 35 for 3 yards (J.Peppers). PENALTY on CHI-D.Cruikshank, Offensive Holding, 10 yards, enforced at CHI 32.	Pats score 0	Chi scores 0
(8:17) (Shotgun) J.Fields pass incomplete short left to C.Kmet [J.Tavai].	Pats score 0	Chi scores 0
(8:09) D.Montgomery right guard to CHI 25 for 3 yards (D.Wise; D.Godchaux).	Pats score 0	Chi scores 0
(7:28) (Shotgun) J.Fields pass deep left to C.Kmet to NE 49 for 26 yards (D.McCourty).	Pats score 0	Chi scores 0.5
(7:05) (No Huddle, Shotgun) D.Montgomery left guard to NE 43 for 6 yards (D.Wise).	Pats score 0	Chi scores 0
(6:26) (Shotgun) D.Montgomery left tackle to NE 40 for 3 yards (D.Wise; J.Tavai).	Pats score 0	Chi scores 0
(5:49) J.Fields up the middle to NE 39 for 1 yard (L.Guy).	Pats score 0	Chi scores 0
(5:06) J.Fields pass incomplete deep right to D.Mooney.	Pats score 0	Chi scores 0
(5:00) (Shotgun) D.Montgomery right tackle to NE 37 for 2 yards (L.Guy; J.Bentley). NE-A.Phillips was injured during the play.	Pats score 0	Chi scores 0
(4:35) (Shotgun) D.Montgomery up the middle to NE 32 for 5 yards (D.Godchaux).	Pats score 0	Chi scores 0
(3:54) C.Santos 50 yard field goal is GOOD, Center-P.Scales, Holder-T.Gill.	Pats score 0	Chi scores 0.5
C.Santos kicks 65 yards from CHI 35 to end zone, Touchback.	Pats score 0	Chi scores 0
(3:50) (Shotgun) B.Zappe pass short middle to H.Henry to NE 31 for 6 yards (N.Morrow). PENALTY on NE-T.Brown, Tripping, 10 yards, enforced at NE 25 - No Play.	Pats score 0	Chi scores 0
(3:29) (Shotgun) B.Zappe pass short left to R.Stevenson ran ob at NE 25 for 10 yards (J.Brisker).	Pats score 0	Chi scores 0
(2:58) (Shotgun) B.Zappe pass short left to R.Stevenson to NE 33 for 8 yards (R.Smith).	Pats score 0	Chi scores 0
(2:18) (Shotgun) B.Zappe pass incomplete short right to D.Parker (T.Gipson).	Pats score 0	Chi scores 0
(2:13) J.Bailey punts 33 yards to CHI 34, Center-J.Cardona. D.Pettis ran ob at NE 39 for 27 yards (J.Peppers).	Pats score 0	Chi scores 0
(2:01) (Shotgun) K.Herbert up the middle to NE 35 for 4 yards (D.Godchaux).	Pats score 0	Chi scores 0
(1:16) (Shotgun) J.Fields pass short left to D.Pettis to NE 33 for 2 yards (A.Phillips).	Pats score 0	Chi scores 0
(:37) (Shotgun) J.Fields pass short left to E.St. Brown pushed ob at NE 26 for 7 yards (J.Mills).	Pats score 0	Chi scores 0
END QUARTER 3	Pats score 0	Chi scores 0
(15:00) (Shotgun) K.Herbert up the middle to NE 23 for 3 yards (L.Guy; D.Godchaux).	Pats score 0	Chi scores 0
(14:23) K.Herbert left end pushed ob at NE 17 for 6 yards (J.Mills).	Pats score 0	Chi scores 0
(13:46) D.Montgomery left guard to NE 5 for 12 yards (J.Bentley, L.Guy).	Pats score 0	Chi scores 0
(13:03) D.Montgomery left tackle to NE 1 for 4 yards (J.Tavai). NE-J.Bentley was injured during the play.	Pats score 0	Chi scores 0
David Montgomery 1 Yd Rush C.Santos extra point is GOOD, Center-P.Scales, Holder-T.Gill.	Pats score 0	Chi scores 1.0
C.Santos kicks 67 yards from CHI 35 to NE -2. Ma.Jones to NE 18 for 20 yards (S.Weatherford). NE-Ma.Jones was injured during the play.	Pats score 0	Chi scores 0
(12:08) (Shotgun) B.Zappe pass short left to R.Stevenson to NE 28 for 10 yards (R.Smith; N.Morrow).	Pats score 0	Chi scores 0
(11:29) (Shotgun) R.Stevenson up the middle to NE 33 for 5 yards (R.Smith).	Pats score 0	Chi scores 0
(10:54) (Shotgun) B.Zappe pass short right to R.Stevenson to NE 35 for 2 yards (J.Johnson).	Pats score 0	Chi scores 0
(10:13) (Shotgun) B.Zappe pass short right to J.Meyers to NE 39 for 4 yards (E.Jackson).	Pats score 0	Chi scores 0
(9:37) (Shotgun) R.Stevenson up the middle to NE 43 for 4 yards (Ju.Jones).	Pats score 0	Chi scores 0
(9:01) (Shotgun) B.Zappe pass short right to D.Parker to CHI 44 for 13 yards (N.Morrow, J.Brisker).	Pats score 0	Chi scores 0
(8:28) (No Huddle, Shotgun) B.Zappe pass incomplete short right to J.Smith.	Pats score 0	Chi scores 0
(8:24) (Shotgun) B.Zappe scrambles right end ran ob at CHI 42 for 2 yards (K.Vildor). PENALTY on NE-C.Strange, Offensive Holding, 10 yards, enforced at CHI 44 - No Play.	Pats score 0	Chi scores 0
(8:00) (Shotgun) B.Zappe pass short middle intended for N.Agholor INTERCEPTED by R.Smith (D.Robinson) at CHI 48. R.Smith ran ob at NE 37 for 15 yards (C.Strange). PENALTY on CHI-M.Pennel, Disqualification, 15 yards, enforced at NE 48. CHI 64-M.Pennel disqualified.	Pats score 0	Chi scores 0.5
(7:50) K.Herbert left guard to 50 for 13 yards (D.McCourty).	Pats score 0	Chi scores 0
(7:01) K.Herbert left guard to NE 46 for 4 yards (J.Tavai; A.Jennings).	Pats score 0	Chi scores 0
(6:14) (Shotgun) K.Herbert up the middle to NE 45 for 1 yard (J.Peppers; L.Guy).	Pats score 0	Chi scores 0
(5:29) K.Herbert left guard to NE 41 for 4 yards (L.Guy).	Pats score 0	Chi scores 0
(4:41) (Run formation) PENALTY on CHI, Delay of Game, 5 yards, enforced at NE 41 - No Play.	Pats score 0	Chi scores 0
(4:41) T.Gill punts 35 yards to NE 11, Center-P.Scales. Ma.Jones to NE 14 for 3 yards (J.Blackwell).	Pats score 0	Chi scores 0
(4:33) (Shotgun) B.Zappe pass incomplete short left to T.Thornton (Ju.Jones).	Pats score 0	Chi scores 0
(4:28) (Shotgun) B.Zappe pass short left to R.Stevenson to NE 23 for 9 yards (N.Morrow).	Pats score 0	Chi scores 0
(4:04) (No Huddle, Shotgun) B.Zappe pass deep right to T.Thornton to NE 42 for 19 yards (E.Jackson).	Pats score 0	Chi scores 0
(3:44) (No Huddle, Shotgun) B.Zappe pass short left to R.Stevenson to NE 43 for 1 yard (A.Blackson).	Pats score 0	Chi scores 0
(3:21) (No Huddle, Shotgun) R.Stevenson up the middle to 50 for 7 yards (Ju.Jones; R.Smith).	Pats score 0	Chi scores 0
(2:59) (No Huddle, Shotgun) B.Zappe pass incomplete deep left to D.Parker.	Pats score 0	Chi scores 0
(2:52) (Shotgun) B.Zappe pass short left intended for T.Thornton INTERCEPTED by K.Gordon at CHI 48. K.Gordon to NE 10 for 42 yards (T.Thornton).	Pats score 0.5	Chi scores 0
(2:40) T.Ebner up the middle to NE 5 for 5 yards (J.Bentley; Ca.Davis).	Pats score 0	Chi scores 0
Two-Minute Warning	Pats score 0	Chi scores 0
(2:00) (Shotgun) T.Ebner up the middle to NE 3 for 2 yards (L.Guy; M.Bryant).	Pats score 0	Chi scores 0
(1:15) (Shotgun) T.Ebner left guard to NE 2 for 1 yard (D.Godchaux; A.Jennings).	Pats score 0	Chi scores 0
(:27) J.Fields kneels to NE 3 for -1 yards.	Pats score 0	Chi scores 0.5
(:25) B.Zappe kneels to NE 2 for -1 yards.	Pats score 0	Chi scores 0
END GAME	Pats score 0	Chi scores 0

team1 score: 6.0 team2 score: 10.0
